t,original,good_recon,bad_recon
0,0,9.01905e-16,1.25043e-16
0.001,0.0940774,0.048325,0.000303583
0.002,0.187135,0.100545,0.000957993
0.003,0.278171,0.156048,0.00201044
0.004,0.36621,0.214154,0.00350917
0.005,0.450327,0.274122,0.00550321
0.006,0.529655,0.335168,0.00804207
0.007,0.6034,0.396475,0.0111755
0.008,0.670854,0.457208,0.014953
0.009,0.731405,0.516533,0.019424
0.01,0.784545,0.573629,0.0246368
0.011,0.829882,0.627707,0.0306389
0.012,0.867138,0.678023,0.0374762
0.013,0.896161,0.723893,0.045193
0.014,0.916923,0.764709,0.0538315
0.015,0.929519,0.799951,0.0634315
0.016,0.934167,0.829196,0.0740298
0.017,0.931205,0.852129,0.0856603
0.018,0.921083,0.868552,0.0983535
0.019,0.904357,0.878387,0.112136
0.02,0.881678,0.881678,0.127031
0.021,0.853784,0.878596,0.143055
0.022,0.821486,0.869434,0.160223
0.023,0.785657,0.854603,0.178544
0.024,0.747214,0.834627,0.198021
0.025,0.707107,0.81013,0.218652
0.026,0.666302,0.781833,0.240429
0.027,0.625766,0.750532,0.263341
0.028,0.586451,0.717091,0.287366
0.029,0.549278,0.68242,0.312481
0.03,0.515124,0.647462,0.338654
0.031,0.484807,0.613173,0.365848
0.032,0.459071,0.580504,0.394019
0.033,0.438578,0.550382,0.423117
0.034,0.423893,0.52369,0.453086
0.035,0.415478,0.501254,0.483865
0.036,0.413683,0.483821,0.515384
0.037,0.418741,0.472045,0.54757
0.038,0.430763,0.466473,0.580343
0.039,0.449737,0.467535,0.613618
0.04,0.475528,0.475528,0.647304
0.041,0.50788,0.490617,0.681306
0.042,0.546419,0.51282,0.715522
0.043,0.59066,0.542015,0.749849
0.044,0.640014,0.577932,0.784177
0.045,0.693796,0.620161,0.818394
0.046,0.751238,0.668158,0.852383
0.047,0.8115,0.721248,0.886027
0.048,0.873682,0.778642,0.919203
0.049,0.93684,0.839447,0.95179
0.05,1,0.90268,0.983662
0.051,1.06217,0.967288,1.01469
0.052,1.12237,1.03216,1.04476
0.053,1.17962,1.09617,1.07374
0.054,1.23299,1.15815,1.10149
0.055,1.28158,1.21696,1.12791
0.056,1.32456,1.27149,1.15287
0.057,1.36117,1.32067,1.17624
0.058,1.39075,1.3635,1.19792
0.059,1.41271,1.39907,1.21778
0.06,1.42658,1.42658,1.23572
0.061,1.43202,1.44535,1.25164
0.062,1.42879,1.45482,1.26543
0.063,1.41677,1.4546,1.27699
0.064,1.39597,1.44442,1.28625
0.065,1.36653,1.42419,1.29311
0.066,1.32872,1.39399,1.29751
0.067,1.28291,1.35404,1.29937
0.068,1.22958,1.30473,1.29864
0.069,1.16935,1.24659,1.29525
0.07,1.10291,1.18032,1.28918
0.071,1.03103,1.10673,1.28037
0.072,0.954576,1.02675,1.26881
0.073,0.874456,0.941413,1.25447
0.074,0.791635,0.851845,1.23735
0.075,0.707107,0.759231,1.21745
0.076,0.62188,0.6648,1.19477
0.077,0.536967,0.569808,1.16935
0.078,0.453362,0.47551,1.14119
0.079,0.37203,0.38314,1.11036
0.08,0.293893,0.293893,1.07688
0.081,0.21981,0.208899,1.04083
0.082,0.15057,0.129207,1.00226
0.083,0.0868775,0.0557658,0.961246
0.084,0.0293401,-0.0105918,0.917879
0.085,-0.0215378,-0.0691646,0.872248
0.086,-0.0653643,-0.119393,0.824452
0.087,-0.101865,-0.160871,0.774601
0.088,-0.130889,-0.193348,0.722809
0.089,-0.152406,-0.216737,0.669198
0.09,-0.166511,-0.231114,0.613897
0.091,-0.173422,-0.236715,0.557042
0.092,-0.173474,-0.233933,0.498773
0.093,-0.167113,-0.223307,0.439236
0.094,-0.154892,-0.205516,0.37858
0.095,-0.137458,-0.181361,0.31696
0.096,-0.115544,-0.151758,0.254534
0.097,-0.089954,-0.117712,0.191461
0.098,-0.0615544,-0.0803062,0.127905
0.099,-0.0312559,-0.0406777,0.0640295
0.1,2.09798e-15,2.16677e-15,-4.94157e-15
0.101,0.0312559,0.0405395,-0.0640178
0.102,0.0615544,0.0797598,-0.127858
0.103,0.089954,0.116508,-0.191357
0.104,0.115544,0.149678,-0.254351
0.105,0.137458,0.178232,-0.316679
0.106,0.154892,0.201215,-0.378182
0.107,0.167113,0.217777,-0.438704
0.108,0.173474,0.22718,-0.498095
0.109,0.173422,0.228816,-0.556206
0.11,0.166511,0.222216,-0.612895
0.111,0.152406,0.207056,-0.668025
0.112,0.130889,0.183163,-0.721463
0.113,0.101865,0.150516,-0.773086
0.114,0.0653643,0.10925,-0.822773
0.115,0.0215378,0.0596468,-0.870413
0.116,-0.0293401,0.00213478,-0.915902
0.117,-0.0868775,-0.0627218,-0.959143
0.118,-0.15057,-0.134232,-1.00005
0.119,-0.21981,-0.211591,-1.03853
0.12,-0.293893,-0.293893,-1.07453
0.121,-0.37203,-0.380148,-1.10798
0.122,-0.453362,-0.4693,-1.13881
0.123,-0.536967,-0.56024,-1.167
0.124,-0.62188,-0.651832,-1.19249
0.125,-0.707107,-0.742923,-1.21527
0.126,-0.791635,-0.832372,-1.2353
0.127,-0.874456,-0.919058,-1.2526
0.128,-0.954576,-1.00191,-1.26714
0.129,-1.03103,-1.0799,-1.27895
0.13,-1.10291,-1.15211,-1.28803
0.131,-1.16935,-1.21767,-1.29442
0.132,-1.22958,-1.27585,-1.29814
0.133,-1.28291,-1.326,-1.29925
0.134,-1.32872,-1.36764,-1.29777
0.135,-1.36653,-1.40036,-1.29379
0.136,-1.39597,-1.42394,-1.28734
0.137,-1.41677,-1.43825,-1.27852
0.138,-1.42879,-1.44333,-1.2674
0.139,-1.43202,-1.43935,-1.25406
0.14,-1.42658,-1.42658,-1.23858
0.141,-1.41271,-1.40546,-1.22107
0.142,-1.39075,-1.37651,-1.20163
0.143,-1.36117,-1.34036,-1.18035
0.144,-1.32456,-1.29775,-1.15735
0.145,-1.28158,-1.2495,-1.13274
0.146,-1.23299,-1.19647,-1.10662
0.147,-1.17962,-1.1396,-1.07913
0.148,-1.12237,-1.07987,-1.05038
0.149,-1.06217,-1.01825,-1.02049
0.15,-1,-0.955746,-0.989586
0.151,-0.93684,-0.893344,-0.957783
0.152,-0.873682,-0.832002,-0.925209
0.153,-0.8115,-0.772639,-0.891985
0.154,-0.751238,-0.716121,-0.858234
0.155,-0.693796,-0.663248,-0.824076
0.156,-0.640014,-0.61474,-0.78963
0.157,-0.59066,-0.571231,-0.755013
0.158,-0.546419,-0.533255,-0.720341
0.159,-0.50788,-0.501247,-0.685723
0.16,-0.475528,-0.475528,-0.651268
0.161,-0.449737,-0.45631,-0.617082
0.162,-0.430763,-0.443689,-0.583263
0.163,-0.418741,-0.437646,-0.549909
0.164,-0.413683,-0.438052,-0.517112
0.165,-0.415478,-0.444664,-0.484957
0.166,-0.423893,-0.457139,-0.453526
0.167,-0.438578,-0.475034,-0.422896
0.168,-0.459071,-0.497817,-0.393136
0.169,-0.484807,-0.524872,-0.364311
0.17,-0.515124,-0.555516,-0.33648
0.171,-0.549278,-0.589004,-0.309694
0.172,-0.586451,-0.624543,-0.284
0.173,-0.625766,-0.661305,-0.259438
0.174,-0.666302,-0.698437,-0.236041
0.175,-0.707107,-0.735078,-0.213835
0.176,-0.747214,-0.77037,-0.19284
0.177,-0.785657,-0.80347,-0.173071
0.178,-0.821486,-0.833562,-0.154535
0.179,-0.853784,-0.859873,-0.137231
0.18,-0.881678,-0.881678,-0.121156
0.181,-0.904357,-0.898316,-0.106297
0.182,-0.921083,-0.909198,-0.092636
0.183,-0.931205,-0.913811,-0.0801494
0.184,-0.934167,-0.911734,-0.0688075
0.185,-0.929519,-0.902635,-0.058575
0.186,-0.916923,-0.886282,-0.0494113
0.187,-0.896161,-0.862543,-0.0412706
0.188,-0.867138,-0.831389,-0.0341021
0.189,-0.829882,-0.792894,-0.0278503
0.19,-0.784545,-0.747236,-0.0224556
0.191,-0.731405,-0.694691,-0.017854
0.192,-0.670854,-0.635631,-0.013978
0.193,-0.6034,-0.570521,-0.0107564
0.194,-0.529655,-0.499909,-0.00811505
0.195,-0.450327,-0.424422,-0.00597714
0.196,-0.36621,-0.344753,-0.0042633
